Date,Open,High,Low,Close,AdjClose,Volume,Name,Brand
06-12-2017,400.2000122,404,395,397.0499878,397.0499878,5573968,TATAMOTORS.NS,Tata
07-12-2017,398,405.2999878,397.1499939,402,402,7998863,TATAMOTORS.NS,Tata
08-12-2017,406,413.75,406,411.1499939,411.1499939,12288946,TATAMOTORS.NS,Tata
11-12-2017,412,415.2000122,409.0499878,410.1499939,410.1499939,5066242,TATAMOTORS.NS,Tata
12-12-2017,411.5499878,415.5,405.9500122,406.8500061,406.8500061,6151197,TATAMOTORS.NS,Tata
13-12-2017,407,409.8500061,400,401.9500122,401.9500122,5140689,TATAMOTORS.NS,Tata
14-12-2017,404,404.5499878,398.2000122,402.3999939,402.3999939,4674026,TATAMOTORS.NS,Tata
15-12-2017,406.5,409,404.2000122,405.1000061,405.1000061,5614113,TATAMOTORS.NS,Tata
18-12-2017,399,409.8999939,389.2999878,405.7999878,405.7999878,5356208,TATAMOTORS.NS,Tata
19-12-2017,407.3500061,421.7000122,407.3500061,420.1000061,420.1000061,9686883,TATAMOTORS.NS,Tata
20-12-2017,421.9500122,427.75,419.25,422.6000061,422.6000061,11191127,TATAMOTORS.NS,Tata
21-12-2017,424,426.0499878,419.5499878,420.7999878,420.7999878,4885225,TATAMOTORS.NS,Tata
22-12-2017,422.0499878,426.3999939,420.8999939,422,422,5345261,TATAMOTORS.NS,Tata
26-12-2017,422,425.1499939,421.1499939,424.2000122,424.2000122,3700655,TATAMOTORS.NS,Tata
27-12-2017,423.5,428.4500122,420.2999878,422.4500122,422.4500122,3673355,TATAMOTORS.NS,Tata
28-12-2017,423.5,423.7000122,416,418.6000061,418.6000061,5018893,TATAMOTORS.NS,Tata
29-12-2017,418,433.4500122,417.1499939,431.8500061,431.8500061,8640908,TATAMOTORS.NS,Tata
01-01-2018,430.9500122,436.3999939,422.25,424.4500122,424.4500122,6807536,TATAMOTORS.NS,Tata
02-01-2018,428.8500061,440.8500061,422,439.2999878,439.2999878,15331261,TATAMOTORS.NS,Tata
03-01-2018,440.3999939,441.3999939,431.9500122,433.8999939,433.8999939,9794953,TATAMOTORS.NS,Tata
04-01-2018,430,433.2999878,425.75,429.9500122,429.9500122,8395377,TATAMOTORS.NS,Tata
05-01-2018,431.25,436.3500061,429.7999878,431.6000061,431.6000061,7021611,TATAMOTORS.NS,Tata
08-01-2018,432,436.2000122,431.6499939,433.5499878,433.5499878,4635214,TATAMOTORS.NS,Tata
09-01-2018,434.25,443.5,433,437.5499878,437.5499878,12629045,TATAMOTORS.NS,Tata
10-01-2018,438,439.2999878,431.2999878,433.2999878,433.2999878,4702579,TATAMOTORS.NS,Tata
11-01-2018,433.5,437.6000061,432.8999939,434.75,434.75,4564895,TATAMOTORS.NS,Tata
12-01-2018,437,441.4500122,432.1000061,437.1000061,437.1000061,7408870,TATAMOTORS.NS,Tata
15-01-2018,438.0499878,440.0499878,431.0499878,432.3500061,432.3500061,4042775,TATAMOTORS.NS,Tata
16-01-2018,433,435.2000122,419.5,421.8999939,421.8999939,5623745,TATAMOTORS.NS,Tata
17-01-2018,422.0499878,424.5,410.1000061,422.9500122,422.9500122,10204447,TATAMOTORS.NS,Tata
18-01-2018,424,428.2999878,414.4500122,418.9500122,418.9500122,9579830,TATAMOTORS.NS,Tata
19-01-2018,415.2000122,421.9500122,415.0499878,418.0499878,418.0499878,3894062,TATAMOTORS.NS,Tata
